"id","URL","Positive","Negative","Neutral","Irrelevant","NotAvailable"
"1085844395885133824","https://twitter.com/user/status/1085844395885133824",,"X",,,
"1087544466616082432","https://twitter.com/user/status/1087544466616082432",,"X",,,
"1086707088947113985","https://twitter.com/user/status/1086707088947113985",,"X",,,
"1088815496835858432","https://twitter.com/user/status/1088815496835858432",,"X",,,
"1088828090367787013","https://twitter.com/user/status/1088828090367787013",,,"X",,
"1085822750239977473","https://twitter.com/user/status/1085822750239977473",,,"X",,
"1086278436107149313","https://twitter.com/user/status/1086278436107149313",,"X",,,
"1088837102253551616","https://twitter.com/user/status/1088837102253551616",,"X",,,
"1087743694927785985","https://twitter.com/user/status/1087743694927785985",,"X",,,
"1086728828897161216","https://twitter.com/user/status/1086728828897161216",,,,"X",
"1085937952990081024","https://twitter.com/user/status/1085937952990081024",,,"X",,
"1086035910817386496","https://twitter.com/user/status/1086035910817386496",,,,"X",
"1086545685380423680","https://twitter.com/user/status/1086545685380423680","X",,,,
"1085862633012690946","https://twitter.com/user/status/1085862633012690946","X",,,,
"1087049575855206401","https://twitter.com/user/status/1087049575855206401","X",,,,
"1089719257087262720","https://twitter.com/user/status/1089719257087262720",,,,"X",
"1085932888439341057","https://twitter.com/user/status/1085932888439341057","X",,,,
"1085905037057028096","https://twitter.com/user/status/1085905037057028096",,,,,"X"
"1086051429595271169","https://twitter.com/user/status/1086051429595271169",,,,,"X"
"1085815585068457984","https://twitter.com/user/status/1085815585068457984",,,"X",,
"1085892471568154624","https://twitter.com/user/status/1085892471568154624",,,"X",,
"1087389943155044352","https://twitter.com/user/status/1087389943155044352",,,"X",,
"1088592537252708352","https://twitter.com/user/status/1088592537252708352",,,"X",,
"1089360538482679808","https://twitter.com/user/status/1089360538482679808",,,"X",,
"1086313221076733953","https://twitter.com/user/status/1086313221076733953",,,"X",,
"1088896608845074433","https://twitter.com/user/status/1088896608845074433",,,"X",,
"1085882183007592449","https://twitter.com/user/status/1085882183007592449",,,"X",,
"1086778846588821505","https://twitter.com/user/status/1086778846588821505",,"X",,,
"1085877192574128128","https://twitter.com/user/status/1085877192574128128",,"X",,,
"1085900872691957760","https://twitter.com/user/status/1085900872691957760",,"X",,,
"1088938704008286208","https://twitter.com/user/status/1088938704008286208",,"X",,,
"1085876943915048961","https://twitter.com/user/status/1085876943915048961",,"X",,,
